Sample ID (TARA_barcode#, registered at ...)	Sample ID (BioSamples accession number (...)	Sample ID (ENA sample accession number (...)	Basis	Campaign	Station (TARA_station#, registered at ...)	Method/Device	Event	Date/Time	Latitude	Longitude	Env feature ([abbreviation], full name (EN...)	Depth, nominal (from which this sample was co...)	Depth top [m] (from which this sample was co...)	Depth bot [m] (from which this sample was co...)	Fraction lower [µm] (used on board to prepare samp...)	Fraction upper [µm] (used on board to prepare samp...)	Sample material (TARA_station#_environmental-f...)	Sample method (short label describing the ta...)	Sample label (TARA_event-datetime_station#_...)	Env feature (about the thickness of the la...)	Env feature (about the pelagic zone (e.g. ...)	Env feature (about the light environment (...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Env feature (about vertical stratification...)	Env feature (about connectivity with the b...)	Env feature (about other information provi...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Kd490 [1/m] (at the sampling location and ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	bbp470 [1/m] ((443 nm) at the sampling loca...)	acCDOM [1/m] ((443 nm) at the sampling loca...)	Kd(PAR) [1/m] (Kd(PAR)1 is calculated for a ...)	Kd(PAR) [1/m] (Kd(PAR)2 is calculated for a ...)	z(SD) [m] (Measured in situ)	z(eu) [m] (at the sampling location for ...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	UMLD [m] (based on sigma theta, calcula...)	UMLD [m] (based on temperature, calcula...)	D chl m [m] (calculated from in situ senso...)	Depth max Brunt Väisälä freq [m] (calculated from in situ senso...)	Depth max O2 [m] (calculated from in situ senso...)	Depth min O2 [m] (calculated from in situ senso...)	Depth nitracline [m] (calculated from in situ senso...)	Temp [°C] (at a depth of 10 m, below the...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of maximum chlor...)	Temp [°C] (at the depth of maximum Brunt...)	Temp [°C] (at the depth of maximum oxyge...)	Temp [°C] (at the depth of minimum oxyge...)	Temp [°C] (at the depth of the nitraclin...)	Sal (at a depth of 10 m, below the...)	Sal (at the base of the euphotic z...)	Sal (at the base of the euphotic z...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of maximum chlor...)	Sal (at the depth of maximum Brunt...)	Sal (at the depth of maximum oxyge...)	Sal (at the depth of minimum oxyge...)	Sal (at the depth of the nitraclin...)	Sigma-theta [kg/m**3] (at a depth of 10 m, below the...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of maximum chlor...)	Sigma-theta [kg/m**3] (at the depth of maximum Brunt...)	Sigma-theta [kg/m**3] (at the depth of maximum oxyge...)	Sigma-theta [kg/m**3] (at the depth of minimum oxyge...)	Sigma-theta [kg/m**3] (at the depth of the nitraclin...)	N**2 [1/s**2] (at a depth of 10 m, below the...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of maximum chlor...)	N**2 [1/s**2] (at the depth of maximum Brunt...)	N**2 [1/s**2] (at the depth of maximum oxyge...)	N**2 [1/s**2] (at the depth of minimum oxyge...)	N**2 [1/s**2] (at the depth of the nitraclin...)	Chl a [mg/m**3] (at a depth of 10 m, below the...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of maximum chlor...)	Chl a [mg/m**3] (at the depth of maximum Brunt...)	Chl a [mg/m**3] (at the depth of maximum oxyge...)	Chl a [mg/m**3] (at the depth of minimum oxyge...)	Chl a [mg/m**3] (at the depth of the nitraclin...)	OXYGEN [µmol/kg] (at a depth of 10 m, below the...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of maximum chlor...)	OXYGEN [µmol/kg] (at the depth of maximum Brunt...)	OXYGEN [µmol/kg] (at the depth of maximum oxyge...)	OXYGEN [µmol/kg] (at the depth of minimum oxyge...)	OXYGEN [µmol/kg] (at the depth of the nitraclin...)	[NO3]- [µmol/l] (at a depth of 10 m, below the...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of maximum chlor...)	[NO3]- [µmol/l] (at the depth of maximum Brunt...)	[NO3]- [µmol/l] (at the depth of maximum oxyge...)	[NO3]- [µmol/l] (at the depth of minimum oxyge...)	[NO3]- [µmol/l] (at the depth of the nitraclin...)
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100001198	SAMEA2620925	ERS490120	SV Tara	TARA_20100624Z	TARA_065	Rosette Vertical Sampling System	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	2010-07-12T11:03	-35.2421	26.3048	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	28	32	<0.22	0.22	TARA_065_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R100001198	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	within a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	none		0.058705	0.066731	0.055157268419862	0.080264270305634	0.001184788707178	0.027340771630406	0.124860016	0.106690392		56.1156425476074		29	34		66	27		13	63		21.8142	21.8152	21.8179		21.732	21.8144		21.8145	21.7655																																0.21249	0.26954	0.27494		0.22269	0.2781		0.21388	0.25048		206.4441	206.4455	206.8062		205.234	206.402		205.6396	204.3166											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B000000475	SAMEA2620929	ERS490124	SV Tara	TARA_20100624Z	TARA_066	High Volume Peristaltic Pump	TARA_20100715T1222Z_066_EVENT_PUMP	2010-07-15T12:22	-34.9449	17.9189	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_066_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B000000475	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none		0.073894	0.083018	0.066151522099972	0.095169465988874	0.001692600140814	0.03805522993207	0.143285467	0.12448258		48.0222434997559		27	31	93	91	31	100	14	451	106	15.0285	15.0212	15.0201	14.6267	14.8489	15.019	14.2071	15.0278	7.9611	13.5826	35.4899	35.4899	35.4899	35.4083	35.4547	35.4898	35.3326	35.4899	34.7472	35.2415	26.2193	26.2215	26.2219	26.2472	26.2343	26.222	26.2791	26.2196	26.9612	26.3398	2.249E-06	4.33E-07			5.7886E-05	8.57E-07		1.077E-06		0.00012611	0.27592	0.38424	0.38424	0.24256	0.3035	0.39027	0.16136	0.29981	0	0.040949	238.9299	239.4782	238.9761	232.4393	233.0629	238.1117	227.8972	238.6951	202.0842	219.1881	2.3848	3.4309	2.7773	3.3865	2.5364	2.9206	3.6764	1.6792	23.0539	6.7416
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000900	SAMEA2620947	ERS490142	SV Tara	TARA_20100624Z	TARA_066	High Volume Peristaltic Pump	TARA_20100715T1222Z_066_EVENT_PUMP	2010-07-15T12:22	-34.9449	17.9189	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_066_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100715T1222Z_066_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000900	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none		0.073894	0.083018	0.066151522099972	0.095169465988874	0.001692600140814	0.03805522993207	0.143285467	0.12448258		48.0222434997559		27	31	93	91	31	100	14	451	106	15.0285	15.0212	15.0201	14.6267	14.8489	15.019	14.2071	15.0278	7.9611	13.5826	35.4899	35.4899	35.4899	35.4083	35.4547	35.4898	35.3326	35.4899	34.7472	35.2415	26.2193	26.2215	26.2219	26.2472	26.2343	26.222	26.2791	26.2196	26.9612	26.3398	2.249E-06	4.33E-07			5.7886E-05	8.57E-07		1.077E-06		0.00012611	0.27592	0.38424	0.38424	0.24256	0.3035	0.39027	0.16136	0.29981	0	0.040949	238.9299	239.4782	238.9761	232.4393	233.0629	238.1117	227.8972	238.6951	202.0842	219.1881	2.3848	3.4309	2.7773	3.3865	2.5364	2.9206	3.6764	1.6792	23.0539	6.7416
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B000000477	SAMEA2620950	ERS490163	SV Tara	TARA_20100624Z	TARA_066	Rosette Vertical Sampling System	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36	-34.8901	18.0459	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	0.22	3	TARA_066_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(100L)_W0.22-3_B000000477	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	within a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	none		0.068513	0.079962	0.062987007200718	0.091419134289026	0.001526930078398	0.035018602386117	0.13995327	0.1212546		49.8191680908203		28	32		67	23		15	65		15.0229	15.0274	15.0124		15.0045	15.0267		15.0301	15.0045																																0.41128	0.41569	0.41162		0.35965	0.41162		0.40762	0.35965		240.1211	239.5365	239.7951		239.4746	240.7301		240.8717	238.3358											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000908	SAMEA2620967	ERS490180	SV Tara	TARA_20100624Z	TARA_066	Rosette Vertical Sampling System	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	2010-07-15T15:36	-34.8901	18.0459	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	30	30	<0.22	0.22	TARA_066_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100715T1539Z_066_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(FeCl3)_W<0.22_R100000908	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	none	within a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	none		0.068513	0.079962	0.062987007200718	0.091419134289026	0.001526930078398	0.035018602386117	0.13995327	0.1212546		49.8191680908203		28	32		67	23		15	65		15.0229	15.0274	15.0124		15.0045	15.0267		15.0301	15.0045																																0.41128	0.41569	0.41162		0.35965	0.41162		0.40762	0.35965		240.1211	239.5365	239.7951		239.4746	240.7301		240.8717	238.3358											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100000497	SAMEA2620970	ERS490183	SV Tara	TARA_20100905Z	TARA_067	High Volume Peristaltic Pump	TARA_20100907T0619Z_067_EVENT_PUMP	2010-09-07T06:19	-32.2401	17.7103	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_067_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100000497	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	<50 m from a weak nutricline (ENVO:01000260), with a difference in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a weak nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none		1.424851	1.048014	0.377795398235321	0.456893116235733	0.006594005040824	0.29717119038105	1.011537142	0.981309671	7	13.3653216362	31	4	4	24	25	14	35	14	89	32	12.8302	12.8339	12.8339	12.6776	12.658	12.8343	10.9026	12.8343	9.6271	11.3983	35.0096	35.01	35.01	35.0085	35.0103	35.0099	34.9628	35.0099	34.9303	34.981	26.3107	26.3101	26.3101	26.3403	26.3456	26.3102	26.6397	26.3102	26.8362	26.5635	1.069E-06	3.61E-07	3.61E-07	4.0762E-05	0.00011621	1.225E-06	2.8842E-05	1.225E-06	9.14E-06	0.00035785	1.6421			1.499	1.4801	1.6454	0.20893	1.6454	0.06016	0.61541	248.2591	250.1919	250.1919	226.3939	190.4161	248.4507	105.6179	248.4507	26.5477	109.9749	0.91027	0.4132	0.4132	2.4073	2.6407	0.46777	15.269	0.46777	23.3412	8.0174
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_Y100000389	SAMEA2620979	ERS490192	SV Tara	TARA_20100905Z	TARA_067	High Volume Peristaltic Pump	TARA_20100907T0619Z_067_EVENT_PUMP	2010-09-07T06:19	-32.2401	17.7103	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_067_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000389	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	<50 m from a weak nutricline (ENVO:01000260), with a difference in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a weak nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none		1.424851	1.048014	0.377795398235321	0.456893116235733	0.006594005040824	0.29717119038105	1.011537142	0.981309671	7	13.3653216362	31	4	4	24	25	14	35	14	89	32	12.8302	12.8339	12.8339	12.6776	12.658	12.8343	10.9026	12.8343	9.6271	11.3983	35.0096	35.01	35.01	35.0085	35.0103	35.0099	34.9628	35.0099	34.9303	34.981	26.3107	26.3101	26.3101	26.3403	26.3456	26.3102	26.6397	26.3102	26.8362	26.5635	1.069E-06	3.61E-07	3.61E-07	4.0762E-05	0.00011621	1.225E-06	2.8842E-05	1.225E-06	9.14E-06	0.00035785	1.6421			1.499	1.4801	1.6454	0.20893	1.6454	0.06016	0.61541	248.2591	250.1919	250.1919	226.3939	190.4161	248.4507	105.6179	248.4507	26.5477	109.9749	0.91027	0.4132	0.4132	2.4073	2.6407	0.46777	15.269	0.46777	23.3412	8.0174
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_Y100000385	SAMEA2620980	ERS490193	SV Tara	TARA_20100905Z	TARA_067	High Volume Peristaltic Pump	TARA_20100907T0619Z_067_EVENT_PUMP	2010-09-07T06:19	-32.2401	17.7103	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_067_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000385	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	<50 m from a weak nutricline (ENVO:01000260), with a difference in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a weak nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none		1.424851	1.048014	0.377795398235321	0.456893116235733	0.006594005040824	0.29717119038105	1.011537142	0.981309671	7	13.3653216362	31	4	4	24	25	14	35	14	89	32	12.8302	12.8339	12.8339	12.6776	12.658	12.8343	10.9026	12.8343	9.6271	11.3983	35.0096	35.01	35.01	35.0085	35.0103	35.0099	34.9628	35.0099	34.9303	34.981	26.3107	26.3101	26.3101	26.3403	26.3456	26.3102	26.6397	26.3102	26.8362	26.5635	1.069E-06	3.61E-07	3.61E-07	4.0762E-05	0.00011621	1.225E-06	2.8842E-05	1.225E-06	9.14E-06	0.00035785	1.6421			1.499	1.4801	1.6454	0.20893	1.6454	0.06016	0.61541	248.2591	250.1919	250.1919	226.3939	190.4161	248.4507	105.6179	248.4507	26.5477	109.9749	0.91027	0.4132	0.4132	2.4073	2.6407	0.46777	15.269	0.46777	23.3412	8.0174
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000951	SAMEA2620991	ERS490204	SV Tara	TARA_20100905Z	TARA_067	High Volume Peristaltic Pump	TARA_20100907T0619Z_067_EVENT_PUMP	2010-09-07T06:19	-32.2401	17.7103	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_067_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100907T0619Z_067_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000951	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	<50 m from a weak nutricline (ENVO:01000260), with a difference in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none	none	none	none	presence of an oxygen minimum zone (ENVO:01000065) at the sampling location, with dissolved oxygen concentrations <50 micromoles per kilogramme	presence of a weak nutricline (ENVO:01000260) at the sampling location, with a change in nitrate concentrations of 5-10 micromoles per kilogramme between 10 m and the depth of the nutricline	none		1.424851	1.048014	0.377795398235321	0.456893116235733	0.006594005040824	0.29717119038105	1.011537142	0.981309671	7	13.3653216362	31	4	4	24	25	14	35	14	89	32	12.8302	12.8339	12.8339	12.6776	12.658	12.8343	10.9026	12.8343	9.6271	11.3983	35.0096	35.01	35.01	35.0085	35.0103	35.0099	34.9628	35.0099	34.9303	34.981	26.3107	26.3101	26.3101	26.3403	26.3456	26.3102	26.6397	26.3102	26.8362	26.5635	1.069E-06	3.61E-07	3.61E-07	4.0762E-05	0.00011621	1.225E-06	2.8842E-05	1.225E-06	9.14E-06	0.00035785	1.6421			1.499	1.4801	1.6454	0.20893	1.6454	0.06016	0.61541	248.2591	250.1919	250.1919	226.3939	190.4161	248.4507	105.6179	248.4507	26.5477	109.9749	0.91027	0.4132	0.4132	2.4073	2.6407	0.46777	15.269	0.46777	23.3412	8.0174
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100000470	SAMEA2620995	ERS490230	SV Tara	TARA_20100905Z	TARA_068	Rosette Vertical Sampling System	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	2010-09-13T13:02	-31.0198	4.6685	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	0.22	3	TARA_068_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(100L)_W0.22-3_B100000470	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.044487	0.044740915298462	0.063664391636848	0.001016351539874	0.015287682414055	0.094930995	0.078182681		69.3739891052246		47	57	241	233	31	3	21	758		16.7982	16.7027	16.6902	16.6261	16.6355	16.7645	17.1162	16.7753	6.3597		35.8535	35.8473	35.8456	35.8278	35.8302	35.8536	35.8581	35.8538	34.5774		26.0929	26.1122	26.1142	26.1228	26.1222	26.1017	26.0202	26.0989	27.0541		1.2186E-05	3.125E-06	1.091E-06	7.59E-07	2.051E-06	2.915E-06		4.141E-06	6.801E-06		0.24235	0.44176	0.29645	0.11119	0.099422	0.52744		0.37503	0		234.1325	229.9688	227.7261	225.5374	225.7887	234.5821	233.5084	234.3222	188.0742											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_N000000713	SAMEA2621006	ERS490241	SV Tara	TARA_20100905Z	TARA_068	Rosette Vertical Sampling System	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	2010-09-13T13:02	-31.0198	4.6685	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	0.8	3	TARA_068_MES_0.8-3	SEQ-(100L-or-15min)_W0.8-3	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(100L-or-15min)_W0.8-3_N000000713	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.044487	0.044740915298462	0.063664391636848	0.001016351539874	0.015287682414055	0.094930995	0.078182681		69.3739891052246		47	57	241	233	31	3	21	758		16.7982	16.7027	16.6902	16.6261	16.6355	16.7645	17.1162	16.7753	6.3597		35.8535	35.8473	35.8456	35.8278	35.8302	35.8536	35.8581	35.8538	34.5774		26.0929	26.1122	26.1142	26.1228	26.1222	26.1017	26.0202	26.0989	27.0541		1.2186E-05	3.125E-06	1.091E-06	7.59E-07	2.051E-06	2.915E-06		4.141E-06	6.801E-06		0.24235	0.44176	0.29645	0.11119	0.099422	0.52744		0.37503	0		234.1325	229.9688	227.7261	225.5374	225.7887	234.5821	233.5084	234.3222	188.0742											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_Y100000758	SAMEA2621003	ERS490238	SV Tara	TARA_20100905Z	TARA_068	Rosette Vertical Sampling System	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	2010-09-13T13:02	-31.0198	4.6685	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	0.45	0.8	TARA_068_MES_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(dry)_W0.45-0.8_Y100000758	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.044487	0.044740915298462	0.063664391636848	0.001016351539874	0.015287682414055	0.094930995	0.078182681		69.3739891052246		47	57	241	233	31	3	21	758		16.7982	16.7027	16.6902	16.6261	16.6355	16.7645	17.1162	16.7753	6.3597		35.8535	35.8473	35.8456	35.8278	35.8302	35.8536	35.8581	35.8538	34.5774		26.0929	26.1122	26.1142	26.1228	26.1222	26.1017	26.0202	26.0989	27.0541		1.2186E-05	3.125E-06	1.091E-06	7.59E-07	2.051E-06	2.915E-06		4.141E-06	6.801E-06		0.24235	0.44176	0.29645	0.11119	0.099422	0.52744		0.37503	0		234.1325	229.9688	227.7261	225.5374	225.7887	234.5821	233.5084	234.3222	188.0742											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_R100000963	SAMEA2621010	ERS490245	SV Tara	TARA_20100905Z	TARA_068	Rosette Vertical Sampling System	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	2010-09-13T13:02	-31.0198	4.6685	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	700	696	705	<0.22	0.22	TARA_068_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100913T1303Z_068_Combined-EVENTS_CAST_MES_(700m)_SEQ-(FeCl3)_W<0.22_R100000963	discrete depth	between 400-800 m, within the mesopelagic zone (ENVO:00000213)	within the aphotic zone (ENVO:00000210)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.044487	0.044740915298462	0.063664391636848	0.001016351539874	0.015287682414055	0.094930995	0.078182681		69.3739891052246		47	57	241	233	31	3	21	758		16.7982	16.7027	16.6902	16.6261	16.6355	16.7645	17.1162	16.7753	6.3597		35.8535	35.8473	35.8456	35.8278	35.8302	35.8536	35.8581	35.8538	34.5774		26.0929	26.1122	26.1142	26.1228	26.1222	26.1017	26.0202	26.0989	27.0541		1.2186E-05	3.125E-06	1.091E-06	7.59E-07	2.051E-06	2.915E-06		4.141E-06	6.801E-06		0.24235	0.44176	0.29645	0.11119	0.099422	0.52744		0.37503	0		234.1325	229.9688	227.7261	225.5374	225.7887	234.5821	233.5084	234.3222	188.0742											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_B100000475	SAMEA2621013	ERS490265	SV Tara	TARA_20100905Z	TARA_068	High Volume Peristaltic Pump	TARA_20100914T0655Z_068_EVENT_PUMP	2010-09-14T06:55	-31.0266	4.665	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_068_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20100914T0655Z_068_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100000475	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	<50 m from a strong peak in chlorophyll fluorescence	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location		0.0428	0.044487	0.041820669546723	0.060399677604437	0.001085186901037	0.015481698326767	0.094930995	0.078182681		75.1965065002441		48	58	174	156	42	353	237	1320		16.8071	16.7855	16.765	16.6103	16.6317	16.7867	14.5569	16.1285	3.291		35.8552	35.8565	35.8558	35.8254	35.8297	35.8563	35.501	35.755	34.7023		26.0921	26.0997	26.1044	26.1221	26.1197	26.099	26.3419	26.1827	27.4998		3.628E-06	8.542E-06	1.088E-06	3.127E-06	3.703E-06	1.02E-07	5.955E-05	5.8426E-05	5.058E-06		0.24139	0.44545	0.41858	0.14757	0.1484	0.44408	0.040949	0.26634	0		231.924	231.1938	230.8128	228.2452	227.2902	232.1068	205.3056	235.2259	169.8053											
