Sample name	Cruise series	GEOTRACES section	Cruise ID	Cruise Station	Collection Date	Depth (m)	env_biome	env_feature	env_material	geo_loc_name	Latitude and Longitude	Bottle ID	NCBI BioProject	NCBI SRA Study	NCBI BioSample	NCBI SRA Accession	Total read pairs	NCBI SRA Accession for assembled metagenome contigs	Assembly method and version
S0035	GEOTRACES	GA02	PE321	33	2010-06-26T12:25:00	99	ocean_biome	ocean	water	Atlantic Ocean	13.1623 N 53.4215 W	636575	PRJNA385854	SRP110813	SAMN07136515	SRR5788199	27447364	SRZ187238	metaSPAdes v3.9.0
S0036	GEOTRACES	GA02	PE321	33	2010-06-26T12:25:00	150	ocean_biome	ocean	water	Atlantic Ocean	13.1623 N 53.4215 W	636572	PRJNA385854	SRP110813	SAMN07136516	SRR5788198	26750868	SRZ187239	metaSPAdes v3.9.0
S0037	GEOTRACES	GA02	PE321	33	2010-06-26T12:25:00	200	ocean_biome	ocean	water	Atlantic Ocean	13.1623 N 53.4215 W	636569	PRJNA385854	SRP110813	SAMN07136517	SRR5788193	33684808	SRZ187240	metaSPAdes v3.9.0
S0039	GEOTRACES	GA02	PE321	35	2010-06-28T14:16:00	9	ocean_biome	ocean	water	Atlantic Ocean	9.5462 N 50.4686 W	634616	PRJNA385854	SRP110813	SAMN07136518	SRR5788192	26955573	SRZ187241	metaSPAdes v3.9.0
S0040	GEOTRACES	GA02	PE321	35	2010-06-28T14:16:00	72	ocean_biome	ocean	water	Atlantic Ocean	9.5462 N 50.4686 W	634607	PRJNA385854	SRP110813	SAMN07136519	SRR5788195	26308765	SRZ187242	metaSPAdes v3.9.0
S0041	GEOTRACES	GA02	PE321	35	2010-06-28T14:16:00	100	ocean_biome	ocean	water	Atlantic Ocean	9.5462 N 50.4686 W	634604	PRJNA385854	SRP110813	SAMN07136520	SRR5788194	29117451	SRZ187243	metaSPAdes v3.9.0
S0042	GEOTRACES	GA02	PE321	35	2010-06-28T14:16:00	151	ocean_biome	ocean	water	Atlantic Ocean	9.5462 N 50.4686 W	634601	PRJNA385854	SRP110813	SAMN07136521	SRR5788201	20061969	SRZ187244	metaSPAdes v3.9.0
S0043	GEOTRACES	GA02	PE321	35	2010-06-28T14:16:00	201	ocean_biome	ocean	water	Atlantic Ocean	9.5462 N 50.4686 W	634598	PRJNA385854	SRP110813	SAMN07136522	SRR5788200	29398077	SRZ187245	metaSPAdes v3.9.0
S0044	GEOTRACES	GA02	PE321	31	2010-06-24T15:06:00	8	ocean_biome	ocean	water	Atlantic Ocean	16.8312 N 56.2685 W	636299	PRJNA385854	SRP110813	SAMN07136523	SRR5788144	21922297	SRZ187246	metaSPAdes v3.9.0
S0045	GEOTRACES	GA02	PE321	31	2010-06-24T15:06:00	76	ocean_biome	ocean	water	Atlantic Ocean	16.8312 N 56.2685 W	636290	PRJNA385854	SRP110813	SAMN07136524	SRR5788145	27685906	SRZ187247	metaSPAdes v3.9.0
S0046	GEOTRACES	GA02	PE321	31	2010-06-24T15:06:00	101	ocean_biome	ocean	water	Atlantic Ocean	16.8312 N 56.2685 W	636287	PRJNA385854	SRP110813	SAMN07136525	SRR5788146	27382212	SRZ187248	metaSPAdes v3.9.0
S0047	GEOTRACES	GA02	PE321	31	2010-06-24T15:06:00	150	ocean_biome	ocean	water	Atlantic Ocean	16.8312 N 56.2685 W	636284	PRJNA385854	SRP110813	SAMN07136526	SRR5788147	35963444	SRZ187249	metaSPAdes v3.9.0
S0048	GEOTRACES	GA02	PE321	31	2010-06-24T15:06:00	201	ocean_biome	ocean	water	Atlantic Ocean	16.8312 N 56.2685 W	636281	PRJNA385854	SRP110813	SAMN07136527	SRR5788140	24818828	SRZ187250	metaSPAdes v3.9.0
S0049	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	31.3	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844604	PRJNA385854	SRP110813	SAMN07136528	SRR5788141	41868308	SRZ187251	metaSPAdes v3.9.0
S0050	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	68	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844607	PRJNA385854	SRP110813	SAMN07136529	SRR5788142	18914125	SRZ187252	metaSPAdes v3.9.0
S0051	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	111.1	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844610	PRJNA385854	SRP110813	SAMN07136530	SRR5788143	28826994	SRZ187253	metaSPAdes v3.9.0
S0052	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	135.8	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844613	PRJNA385854	SRP110813	SAMN07136531	SRR5788138	23095796	SRZ187254	metaSPAdes v3.9.0
S0053	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	186.3	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844616	PRJNA385854	SRP110813	SAMN07136532	SRR5788139	31811654	SRZ187255	metaSPAdes v3.9.0
S0054	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	237.3	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844619	PRJNA385854	SRP110813	SAMN07136533	SRR5788008	28732390	SRZ187256	metaSPAdes v3.9.0
S0055	GEOTRACES	GA03	KN204	8	2011-11-16T13:59:00	291.5	ocean_biome	ocean	water	Atlantic Ocean	35.41617 N 66.54077 W	844622	PRJNA385854	SRP110813	SAMN07136534	SRR5788007	28395368	SRZ187257	metaSPAdes v3.9.0
S0057	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	38.9	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846086	PRJNA385854	SRP110813	SAMN07136535	SRR5788006	32527412	SRZ187258	metaSPAdes v3.9.0
S0058	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	65.2	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846089	PRJNA385854	SRP110813	SAMN07136536	SRR5788005	21593384	SRZ187259	metaSPAdes v3.9.0
S0059	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	75.1	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846092	PRJNA385854	SRP110813	SAMN07136537	SRR5788012	49524737	SRZ187260	metaSPAdes v3.9.0
S0060	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	113.9	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846095	PRJNA385854	SRP110813	SAMN07136538	SRR5788011	34544320	SRZ187261	metaSPAdes v3.9.0
S0061	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	184	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846101	PRJNA385854	SRP110813	SAMN07136539	SRR5788010	29858813	SRZ187262	metaSPAdes v3.9.0
S0062	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	233	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846104	PRJNA385854	SRP110813	SAMN07136540	SRR5788009	31210233	SRZ187263	metaSPAdes v3.9.0
S0063	GEOTRACES	GA03	KN204	18	2011-12-01T17:25:00	283.9	ocean_biome	ocean	water	Atlantic Ocean	24.1497 N 40.21786 W	846107	PRJNA385854	SRP110813	SAMN07136541	SRR5788014	27718979	SRZ187264	metaSPAdes v3.9.0
S0064	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	28.4	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845300	PRJNA385854	SRP110813	SAMN07136542	SRR5788013	15194120	SRZ187265	metaSPAdes v3.9.0
S0065	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	61.2	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845303	PRJNA385854	SRP110813	SAMN07136543	SRR5788065	17515188	SRZ187266	metaSPAdes v3.9.0
S0066	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	86.4	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845306	PRJNA385854	SRP110813	SAMN07136544	SRR5788066	18259926	SRZ187267	metaSPAdes v3.9.0
S0067	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	108.8	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845309	PRJNA385854	SRP110813	SAMN07136545	SRR5788063	17719388	SRZ187268	metaSPAdes v3.9.0
S0068	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	135.6	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845312	PRJNA385854	SRP110813	SAMN07136546	SRR5788064	32346922	SRZ187269	metaSPAdes v3.9.0
S0069	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	186.5	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845315	PRJNA385854	SRP110813	SAMN07136547	SRR5788069	30650936	SRZ187270	metaSPAdes v3.9.0
S0070	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	234.7	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845318	PRJNA385854	SRP110813	SAMN07136548	SRR5788070	30836529	SRZ187271	metaSPAdes v3.9.0
S0071	GEOTRACES	GA03	KN204	3	2011-11-10T14:23:00	288.8	ocean_biome	ocean	water	Atlantic Ocean	38.65497 N 69.13131 W	845321	PRJNA385854	SRP110813	SAMN07136549	SRR5788067	36118620	SRZ187272	metaSPAdes v3.9.0
S0072	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	39.9	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846236	PRJNA385854	SRP110813	SAMN07136550	SRR5788068	18092283	SRZ187273	metaSPAdes v3.9.0
S0073	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	74.3	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846239	PRJNA385854	SRP110813	SAMN07136551	SRR5788061	15618010	SRZ187274	metaSPAdes v3.9.0
S0074	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	99.7	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846242	PRJNA385854	SRP110813	SAMN07136552	SRR5788062	29168249	SRZ187275	metaSPAdes v3.9.0
S0075	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	134.2	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846245	PRJNA385854	SRP110813	SAMN07136553	SRR5788107	35016855	SRZ187276	metaSPAdes v3.9.0
S0076	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	183.8	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846248	PRJNA385854	SRP110813	SAMN07136554	SRR5788204	37258714	SRZ187277	metaSPAdes v3.9.0
S0077	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	234.1	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846251	PRJNA385854	SRP110813	SAMN07136555	SRR5788214	35121420	SRZ187278	metaSPAdes v3.9.0
S0078	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	300.8	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846254	PRJNA385854	SRP110813	SAMN07136556	SRR5788213	27625031	SRZ187279	metaSPAdes v3.9.0
S0079	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	374.3	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846257	PRJNA385854	SRP110813	SAMN07136557	SRR5788036	27720001	SRZ187280	metaSPAdes v3.9.0
S0080	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	499.6	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846260	PRJNA385854	SRP110813	SAMN07136558	SRR5788215	30757878	SRZ187281	metaSPAdes v3.9.0
S0081	GEOTRACES	GA03	KN204	20	2011-12-03T23:12:00	1055.2	ocean_biome	ocean	water	Atlantic Ocean	22.33305 N 35.86703 W	846269	PRJNA385854	SRP110813	SAMN07136559	SRR5788228	36015165	SRZ187282	metaSPAdes v3.9.0
S0082	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	41.8	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844712	PRJNA385854	SRP110813	SAMN07136560	SRR5788224	33877240	SRZ187283	metaSPAdes v3.9.0
S0083	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	75.7	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844715	PRJNA385854	SRP110813	SAMN07136561	SRR5788313	33475023	SRZ187284	metaSPAdes v3.9.0
S0084	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	89.1	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844718	PRJNA385854	SRP110813	SAMN07136562	SRR5788312	31453590	SRZ187285	metaSPAdes v3.9.0
S0085	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	109.7	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844721	PRJNA385854	SRP110813	SAMN07136563	SRR5787993	28189267	SRZ187286	metaSPAdes v3.9.0
S0086	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	182.4	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844724	PRJNA385854	SRP110813	SAMN07136564	SRR5787994	26364899	SRZ187287	metaSPAdes v3.9.0
S0087	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	233.3	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844727	PRJNA385854	SRP110813	SAMN07136565	SRR5788249	25994646	SRZ187288	metaSPAdes v3.9.0
S0088	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	281.4	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844730	PRJNA385854	SRP110813	SAMN07136566	SRR5788250	35932845	SRZ187289	metaSPAdes v3.9.0
S0089	GEOTRACES	GA03	KN204	10	2011-11-19T19:31:00	414.2	ocean_biome	ocean	water	Atlantic Ocean	31.75351 N 64.17499 W	844733	PRJNA385854	SRP110813	SAMN07136567	SRR5788251	22021412	SRZ187290	metaSPAdes v3.9.0
S0090	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	39.7	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845942	PRJNA385854	SRP110813	SAMN07136568	SRR5788252	31728111	SRZ187291	metaSPAdes v3.9.0
S0091	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	60.7	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845945	PRJNA385854	SRP110813	SAMN07136569	SRR5788253	23180825	SRZ187292	metaSPAdes v3.9.0
S0092	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	89.9	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845948	PRJNA385854	SRP110813	SAMN07136570	SRR5788254	30362911	SRZ187293	metaSPAdes v3.9.0
S0093	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	110.7	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845951	PRJNA385854	SRP110813	SAMN07136571	SRR5788025	33454639	SRZ187294	metaSPAdes v3.9.0
S0094	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	135.6	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845954	PRJNA385854	SRP110813	SAMN07136572	SRR5788225	32430476	SRZ187295	metaSPAdes v3.9.0
S0095	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	185.7	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845957	PRJNA385854	SRP110813	SAMN07136573	SRR5788414	49713939	SRZ187296	metaSPAdes v3.9.0
S0096	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	234.8	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845960	PRJNA385854	SRP110813	SAMN07136574	SRR5788413	38852478	SRZ187297	metaSPAdes v3.9.0
S0097	GEOTRACES	GA03	KN204	16	2011-11-30T03:40:00	284.8	ocean_biome	ocean	water	Atlantic Ocean	26.13688 N 44.82622 W	845963	PRJNA385854	SRP110813	SAMN07136575	SRR5788412	49405382	SRZ187298	metaSPAdes v3.9.0
S0098	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	48.1	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846713	PRJNA385854	SRP110813	SAMN07136576	SRR5788411	29057352	SRZ187299	metaSPAdes v3.9.0
S0099	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	71.6	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846716	PRJNA385854	SRP110813	SAMN07136577	SRR5788410	30861159	SRZ187300	metaSPAdes v3.9.0
S0100	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	89.3	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846719	PRJNA385854	SRP110813	SAMN07136578	SRR5788409	26991060	SRZ187301	metaSPAdes v3.9.0
S0101	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	135	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846722	PRJNA385854	SRP110813	SAMN07136579	SRR5788408	31666043	SRZ187302	metaSPAdes v3.9.0
S0102	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	183.7	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846725	PRJNA385854	SRP110813	SAMN07136580	SRR5788407	20144298	SRZ187303	metaSPAdes v3.9.0
S0103	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	234.5	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846728	PRJNA385854	SRP110813	SAMN07136581	SRR5788426	26744312	SRZ187304	metaSPAdes v3.9.0
S0104	GEOTRACES	GA03	KN204	24	2011-12-10T08:27:00	285.9	ocean_biome	ocean	water	Atlantic Ocean	17.39998 N 24.50003 W	846731	PRJNA385854	SRP110813	SAMN07136582	SRR5788425	29482548	SRZ187305	metaSPAdes v3.9.0
S0105	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	40.1	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845645	PRJNA385854	SRP110813	SAMN07136583	SRR5788087	30438461	SRZ187306	metaSPAdes v3.9.0
S0106	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	69.4	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845648	PRJNA385854	SRP110813	SAMN07136584	SRR5788088	27613431	SRZ187307	metaSPAdes v3.9.0
S0107	GEOTRACES	GA03	KN204	14	2011-11-26T15:01:00	99	ocean_biome	ocean	water	Atlantic Ocean	27.58305 N 49.63297 W	845651	PRJNA385854	SRP110813	SAMN07136585	SRR5788085	23444487	SRZ187308	metaSPAdes v3.9.0
