PARAMETER	Sample ID	Sample ID	Sample ID	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Analysis ID	Analysis method	Analysis method	Analysis method	Analysis label	Analysis ID	Analysis ID	Analysis label	Uniform resource locator/link to metadata file	Uniform resource locator/link to metadata file
925	TARA_Y100000401	SAMEA2620836	ERS490010	TARA_064	TARA_20100708T0621Z_064_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	65	63	67	0.1	0.22	TARA_064_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100708T0621Z_064_EVENT_PUMP_DCM_(65m)_SEQ-(dry)_W0.1-0.22_Y100000401	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABMIOSF_r1	ERX552266	ERR594324	run_ANB_ABMIOSF_3_C077RACXX.IND2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594324/ERR594324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594324/ERR594324_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594324
926	TARA_Y100000361	SAMEA2620894	ERS490089	TARA_065	TARA_20100712T1106Z_065_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	30	28	32	0.1	0.22	TARA_065_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_DCM_(30m)_SEQ-(dry)_W0.1-0.22_Y100000361	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABNIOSF_r1	ERX552283	ERR594291	run_ANB_ABNIOSF_4_C077RACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594291/ERR594291_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594291
927	TARA_Y100000356	SAMEA2620861	ERS490035	TARA_065	TARA_20100712T0559Z_065_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_065_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20100712T0559Z_065_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000356	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ABPIOSF_r1	ERX552286	ERR594320	run_ANB_ABPIOSF_4_C077RACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594320/ERR594320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594320/ERR594320_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594320
952	TARA_Y100001973	SAMEA2622694	ERS492703	TARA_122	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	112	117	0.1	0.22	TARA_122_DCM_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110728T1718Z_122_Combined-EVENTS_CAST_DCM_(115m)_SEQ-(dry)_W0.1-0.22_Y100001973	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACTIOSF_r1	ERX552279	ERR594284	run_ANB_ACTIOSF_2_D1122ACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594284/ERR594284_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594284
953	TARA_Y100001972	SAMEA2622656	ERS492646	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_122_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110726T1710Z_122_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100001972	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ACVIOSF_r1	ERX552250	ERR594292	run_ANB_ACVIOSF_3_D1122ACXX.IND4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594292/ERR594292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594292/ERR594292_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594292
956	TARA_Y100001963	SAMEA2622736	ERS492781	TARA_123	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	150	148	152	0.1	0.22	TARA_123_MIX_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MIX_(150m)_SEQ-(dry)_W0.1-0.22_Y100001963	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADBIOSF_r1	ERX552280	ERR594293	run_ANB_ADBIOSF_2_C0V08ACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594293/ERR594293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594293/ERR594293_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594293
961	TARA_Y100001951	SAMEA2622676	ERS492683	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	600	598	602	0.1	0.22	TARA_122_MES_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110727T1932Z_122_Combined-EVENTS_CAST_MES_(600m)_SEQ-(dry)_W0.1-0.22_Y100001951	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADHIOSF_r1	ERX552265	ERR594309	run_ANB_ADHIOSF_3_C0URMACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594309/ERR594309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594309/ERR594309_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594309
964	TARA_Y100001938	SAMEA2622799	ERS492866	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	118	122	0.1	0.22	TARA_124_MIX_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(dry)_W0.1-0.22_Y100001938	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADLIOSF_r1	ERX552269	ERR594285	run_ANB_ADLIOSF_2_D1122ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594285/ERR594285_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594285
965	TARA_Y100001937	SAMEA2622763	ERS492818	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_124_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100001937	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADMIOSF_r1	ERX552278	ERR594287	run_ANB_ADMIOSF_3_D1122ACXX.IND1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594287/ERR594287_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594287
970	TARA_Y100000593	SAMEA2622841	ERS492930	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	138	142	0.1	0.22	TARA_125_MIX_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(dry)_W0.1-0.22_Y100000593	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADSIOSF_r1	ERX552285	ERR594341	run_ANB_ADSIOSF_1_C0UVEACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594341/ERR594341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594341/ERR594341_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594341
971	TARA_Y100000592	SAMEA2622821	ERS492892	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_125_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000592	PRJEB1788	Girus_DNA_ext		MetaG	ANB_ADTIOSF_r1	ERX552292	ERR594344	run_ANB_ADTIOSF_1_C0UVEACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594344/ERR594344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594344/ERR594344_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594344
978	TARA_A100000172	SAMEA2619686	ERS488354	TARA_018	TARA_20091102T1407Z_018_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_018_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091102T1407Z_018_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_A100000172	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AACOSW_r1	ERX552325	ERR594352	run_APX_AACOSW_5_C0C2AACXX.IND11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594352/ERR594352_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594352
979	TARA_A100001374	SAMEA2591132	ERS478052	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	<0.22	0.22	TARA_030_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(FeCl3)_W<0.22_A100001374	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAEOSW_r2	ERX552368	ERR594405	run_APX_AAEOSW_5_C0C2AACXX.IND7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594405/ERR594405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594405/ERR594405_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594405
980	TARA_A100001516	SAMEA2619838	ERS488589	TARA_032	TARA_20100111T0721Z_032_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_032_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100111T0721Z_032_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_A100001516	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAFOSW_r1	ERX552349	ERR594393	run_APX_AAFOSW_1_C0D52ACXX.IND3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594393/ERR594393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594393/ERR594393_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594393
981	TARA_R100000030	SAMEA2619962	ERS488757	TARA_036	TARA_20100312T1223Z_036_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	17	15	19	<0.22	0.22	TARA_036_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100312T1223Z_036_EVENT_PUMP_DCM_(17m)_SEQ-(FeCl3)_W<0.22_R100000030	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAHOSW_r1	ERX552324	ERR594402	run_APX_AAHOSW_1_C0D52ACXX.IND5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594402/ERR594402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594402/ERR594402_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594402
982	TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAIOSW_r1	ERX552318	ERR594372	run_APX_AAIOSW_4_D0745ACXX.IND12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594372/ERR594372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594372/ERR594372_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594372
983	TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAIOSW_r2	ERX552341	ERR594373	run_APX_AAIOSW_4_D0745ACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594373/ERR594373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594373/ERR594373_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594373
984	TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAIOSW_r2	ERX552366	ERR594367	run_APX_AAIOSW_8_C084LACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594367/ERR594367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594367/ERR594367_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594367
985	TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAIOSW_r3	ERX552343	ERR594366	run_APX_AAIOSW_4_D0745ACXX.IND9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594366/ERR594366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594366/ERR594366_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594366
986	TARA_R100000458	SAMEA2620227	ERS489084	TARA_041	TARA_20100330T1056Z_041_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_041_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100330T1056Z_041_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000458	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAIOSW_r4	ERX552317	ERR594371	run_APX_AAIOSW_4_D0745ACXX.IND10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594371/ERR594371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594371/ERR594371_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594371
987	TARA_R100000234	SAMEA2620588	ERS489603	TARA_052	TARA_20100517T1142Z_052_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	75	73	77	<0.22	0.22	TARA_052_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100517T1142Z_052_EVENT_PUMP_DCM_(75m)_SEQ-(FeCl3)_W<0.22_R100000234	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AAKOSW_r1	ERX552329	ERR594394	run_APX_AAKOSW_1_C0D52ACXX.IND6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594394/ERR594394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594394/ERR594394_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594394
988	TARA_R100000315	SAMEA2620852	ERS490026	TARA_064	TARA_20100708T0621Z_064_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	65	63	67	<0.22	0.22	TARA_064_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100708T0621Z_064_EVENT_PUMP_DCM_(65m)_SEQ-(FeCl3)_W<0.22_R100000315	PRJEB4419	Virus_DNA_ext		MetaG_virus	APX_AALOSW_r1	ERX552319	ERR594385	run_APX_AALOSW_1_C0D52ACXX.IND8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594385/ERR594385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR594/ERR594385/ERR594385_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/err/ERR594/ERR594385
