Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,nominal_length,Organism,Platform,ReleaseDate,Run_ID,sample_acc,Sample Name,SRA Study
SRR7609363,WGS,302,7163560498,PRJNA467766,SAMN09201534,Metagenome or environmental,3413057716,JGI,2016-11-05,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4474206,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCBZ,PAIRED,other,METAGENOMIC,7163,3254,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599485,Gp0266661,SRP155421
SRR7609452,WGS,302,10726324864,PRJNA467768,SAMN09201440,Metagenome or environmental,4920167486,JGI,2016-11-08,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4474295,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCA,PAIRED,other,METAGENOMIC,10726,4692,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599498,Gp0266662,SRP155424
SRR7609461,WGS,302,6496286666,PRJNA467769,SAMN09202113,Metagenome or environmental,2973271730,JGI,2016-11-11,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4474304,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCB,PAIRED,other,METAGENOMIC,6496,2835,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599503,Gp0266663,SRP155425
SRR7609462,WGS,302,5877069792,PRJNA467770,SAMN09201533,Metagenome or environmental,2823076880,JGI,2016-10-05,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4474305,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCC,PAIRED,other,METAGENOMIC,5877,2692,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599504,Gp0266665,SRP155426
SRR7609569,WGS,302,6328886556,PRJNA467773,SAMN09202115,Metagenome or environmental,2972489459,JGI,2016-11-15,public,sra,"ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4474412,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCN,PAIRED,other,METAGENOMIC,6328,2834,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599609,Gp0266668,SRP155430
SRR7609570,WGS,302,8114732752,PRJNA467771,SAMN09201532,Metagenome or environmental,3942158741,JGI,2016-11-02,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4474413,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCG,PAIRED,other,METAGENOMIC,8114,3759,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599610,Gp0266666,SRP155431
SRR7609573,WGS,302,7642683196,PRJNA467772,SAMN09202114,Metagenome or environmental,3603121448,JGI,2016-11-04,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4474416,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CHCCH,PAIRED,other,METAGENOMIC,7642,3436,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12185,SRS3599613,Gp0266667,SRP155434
SRR7592212,WGS,302,6639302994,PRJNA467720,SAMN09201680,Metagenome or environmental,3201458834,JGI,2016-10-04,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4457271,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYWW,PAIRED,other,METAGENOMIC,6639,3053,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12185,SRS3595105,Gp0266591,SRP155234
SRR7592225,WGS,302,7983910278,PRJNA467721,SAMN09201419,Metagenome or environmental,3696348216,JGI,2016-11-16,public,sra,"gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4457284,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYWX,PAIRED,other,METAGENOMIC,7983,3525,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12185,SRS3595118,Gp0266592,SRP155237
SRR7592226,WGS,302,6667059814,PRJNA467722,SAMN09201454,Metagenome or environmental,3070152687,JGI,2016-11-09,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4457285,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYWY,PAIRED,other,METAGENOMIC,6667,2927,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12185,SRS3595119,Gp0266593,SRP155238
SRR7592236,WGS,302,7717664360,PRJNA467723,SAMN09201857,Metagenome or environmental,3775189239,JGI,2016-11-03,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4457295,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXZC,PAIRED,other,METAGENOMIC,7717,3600,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12247,SRS3595127,Gp0266594,SRP155240
SRR7592287,WGS,302,9439829628,PRJNA467724,SAMN09201853,Metagenome or environmental,4050350624,JGI,2016-11-05,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4457340,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CNPOW,PAIRED,other,METAGENOMIC,9439,3862,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12275,SRS3595166,Gp0266597,SRP155246
SRR7592321,WGS,302,19576899642,PRJNA467725,SAMN09201852,Metagenome or environmental,9130052633,JGI,2016-10-06,public,sra,"ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4457374,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGWAN,PAIRED,other,METAGENOMIC,19576,8707,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12197,SRS3595200,Gp0266600,SRP155249
SRR7592488,WGS,302,7000627270,PRJNA468208,SAMN09201605,Metagenome or environmental,3065162745,JGI,2016-10-24,public,sra,"s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4457541,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYXZ,PAIRED,other,METAGENOMIC,7000,2923,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3595272,Gp0272196,SRP155253
SRR7592489,WGS,302,13033898710,PRJNA467726,SAMN09202066,Metagenome or environmental,6127403590,JGI,2016-09-27,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4457542,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGWAO,PAIRED,other,METAGENOMIC,13033,5843,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12202,SRS3595273,Gp0266608,SRP155254
SRR7592711,WGS,302,7294852280,PRJNA467728,SAMN09201452,Metagenome or environmental,3405377063,JGI,2016-10-01,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4457707,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXZZ,PAIRED,other,METAGENOMIC,7294,3247,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12247,SRS3595343,Gp0266612,SRP155258
SRR7592826,WGS,302,4854715534,PRJNA467729,SAMN09201851,Metagenome or environmental,2041713935,JGI,2016-10-04,public,sra,"ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4457822,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYB,PAIRED,other,METAGENOMIC,4854,1947,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3595363,Gp0266613,SRP155261
SRR7593830,WGS,302,8451209978,PRJNA468209,SAMN09202468,Metagenome or environmental,4145016164,JGI,2016-10-12,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4458826,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYAA,PAIRED,other,METAGENOMIC,8451,3952,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12247,SRS3596367,Gp0272198,SRP155263
SRR7593831,WGS,302,5913326704,PRJNA467730,SAMN09202067,Metagenome or environmental,2533568477,JGI,2016-10-10,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4458827,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYC,PAIRED,other,METAGENOMIC,5913,2416,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3596368,Gp0266614,SRP155264
SRR7593934,WGS,302,6324142740,PRJNA467731,SAMN09201850,Metagenome or environmental,2813633199,JGI,2016-10-26,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4458930,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYH,PAIRED,other,METAGENOMIC,6324,2683,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3596372,Gp0266616,SRP155266
SRR7594064,WGS,302,7234605696,PRJNA468210,SAMN09201604,Metagenome or environmental,3211958616,JGI,2016-10-19,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4459060,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYN,PAIRED,other,METAGENOMIC,7234,3063,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3596502,Gp0272199,SRP155268
SRR7594085,WGS,302,5589222116,PRJNA467732,SAMN09201849,Metagenome or environmental,2459784670,JGI,2016-09-30,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4459081,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYP,PAIRED,other,METAGENOMIC,5589,2345,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12213,SRS3596523,Gp0266618,SRP155270
SRR7594164,WGS,302,5904284220,PRJNA467734,SAMN09202069,Metagenome or environmental,2764034377,JGI,2016-10-25,public,sra,"ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4459160,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYU,PAIRED,other,METAGENOMIC,5904,2635,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12197,SRS3596578,Gp0266620,SRP155273
SRR7594165,WGS,302,9178069618,PRJNA467733,SAMN09202068,Metagenome or environmental,4169568035,JGI,2016-11-14,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4459161,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYT,PAIRED,other,METAGENOMIC,9178,3976,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12197,SRS3596580,Gp0266619,SRP155275
SRR7594461,WGS,302,7854968358,PRJNA468211,SAMN09202469,Metagenome or environmental,3689633300,JGI,2016-10-02,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4459457,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYXG,PAIRED,other,METAGENOMIC,7854,3518,270,seawater metagenome,ILLUMINA,2018-07-25T00:00:00Z,12185,SRS3596725,Gp0272201,SRP155280
SRR7594967,WGS,302,9772488366,PRJNA467735,SAMN09201451,Metagenome or environmental,4452177831,JGI,2016-09-28,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4459963,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYW,PAIRED,other,METAGENOMIC,9772,4245,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12197,SRS3596727,Gp0266621,SRP155282
SRR7595425,WGS,302,8607890598,PRJNA467736,SAMN09201848,Metagenome or environmental,3783807948,JGI,2016-11-04,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4460421,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGYYX,PAIRED,other,METAGENOMIC,8607,3608,270,seawater metagenome,ILLUMINA,2018-07-26T00:00:00Z,12213,SRS3596752,Gp0266622,SRP155287
SRR7633009,WGS,302,7254602022,PRJNA467727,SAMN09201453,Metagenome or environmental,3448756252,JGI,2016-10-06,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4496740,USA,North America,USA: California,not applicable,Illumina HiSeq 2500,surface seawater,36.8313 N 121.9047 W,CGXZX,PAIRED,other,METAGENOMIC,7254,3288,270,seawater metagenome,ILLUMINA,2018-08-01T00:00:00Z,12247,SRS3617807,Gp0266610,SRP155978
SRR8379183,OTHER,602,371434,PRJNA511161,SAMN10636613,Metagenome or environmental,314752,JGI,2016-11-04,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5189268,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYZ,PAIRED,PCR,METAGENOMIC,0,0,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195580,Gp0358414,SRP174758
SRR8379184,OTHER,602,84782670,PRJNA511251,SAMN10636618,Metagenome or environmental,52188340,JGI,2016-10-13,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5189267,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYP,PAIRED,PCR,METAGENOMIC,84,49,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195579,Gp0358406,SRP174757
SRR8379185,OTHER,602,62152286,PRJNA511252,SAMN10636617,Metagenome or environmental,38551028,JGI,2016-11-05,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5189266,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYS,PAIRED,PCR,METAGENOMIC,62,36,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195577,Gp0358407,SRP174755
SRR8379186,OTHER,602,37095842,PRJNA511156,SAMN10637063,Metagenome or environmental,22724558,JGI,2016-11-08,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5189265,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYT,PAIRED,PCR,METAGENOMIC,37,21,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195578,Gp0358408,SRP174756
SRR8379187,OTHER,602,76699014,PRJNA511157,SAMN10636616,Metagenome or environmental,47386658,JGI,2016-11-11,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5189264,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYU,PAIRED,PCR,METAGENOMIC,76,45,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195576,Gp0358409,SRP174754
SRR8379188,OTHER,602,23979466,PRJNA511158,SAMN10636615,Metagenome or environmental,14888308,JGI,2016-09-26,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5189263,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYW,PAIRED,PCR,METAGENOMIC,23,14,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195575,Gp0358410,SRP174753
SRR8379189,OTHER,602,53405226,PRJNA511200,SAMN10636901,Metagenome or environmental,33394409,JGI,2016-10-03,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5189262,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAXO,PAIRED,PCR,METAGENOMIC,53,31,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195574,Gp0358390,SRP174752
SRR8379190,OTHER,602,91420924,PRJNA511199,SAMN10636682,Metagenome or environmental,56852417,JGI,2016-11-02,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5189261,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAXN,PAIRED,PCR,METAGENOMIC,91,54,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195573,Gp0358389,SRP174751
SRR8379191,OTHER,602,57253812,PRJNA511198,SAMN10637058,Metagenome or environmental,35595158,JGI,2016-10-05,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5189260,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAXH,PAIRED,PCR,METAGENOMIC,57,33,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195572,Gp0358388,SRP174750
SRR8379192,OTHER,602,54614042,PRJNA511197,SAMN10636903,Metagenome or environmental,33752560,JGI,2016-10-24,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5189259,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAXG,PAIRED,PCR,METAGENOMIC,54,32,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195571,Gp0358387,SRP174749
SRR8379193,OTHER,602,58653462,PRJNA511160,SAMN10636614,Metagenome or environmental,36270262,JGI,2016-11-02,public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5189258,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYY,PAIRED,PCR,METAGENOMIC,58,34,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195570,Gp0358413,SRP174748
SRR8379194,OTHER,602,29935654,PRJNA511159,SAMN10636685,Metagenome or environmental,18392763,JGI,2016-10-05,public,sra,"s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5189257,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYX,PAIRED,PCR,METAGENOMIC,29,17,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195569,Gp0358412,SRP174747
SRR8379195,OTHER,602,57104516,PRJNA511247,SAMN10636890,Metagenome or environmental,35053493,JGI,2016-10-11,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5189256,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYG,PAIRED,PCR,METAGENOMIC,57,33,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195567,Gp0358402,SRP174745
SRR8379196,OTHER,602,100075276,PRJNA511246,SAMN10636891,Metagenome or environmental,61758250,JGI,2016-11-07,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5189255,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYC,PAIRED,PCR,METAGENOMIC,100,58,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195568,Gp0358401,SRP174746
SRR8379197,OTHER,602,61418448,PRJNA511245,SAMN10636619,Metagenome or environmental,37792534,JGI,2016-09-26,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5189254,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYB,PAIRED,PCR,METAGENOMIC,61,36,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195566,Gp0358400,SRP174744
SRR8379198,OTHER,602,95181618,PRJNA511244,SAMN10636611,Metagenome or environmental,58632661,JGI,2016-10-07,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5189253,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYA,PAIRED,PCR,METAGENOMIC,95,55,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195565,Gp0358399,SRP174743
SRR8379199,OTHER,602,92202922,PRJNA511250,SAMN10636690,Metagenome or environmental,56597645,JGI,2016-10-11,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5189252,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYO,PAIRED,PCR,METAGENOMIC,92,53,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195564,Gp0358405,SRP174742
SRR8379200,OTHER,602,34461490,PRJNA511249,SAMN10636888,Metagenome or environmental,21217063,JGI,2016-10-10,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5189251,USA,North America,"USA: California\, Monterey Bay",not applicable,Illumina MiSeq,Surface Seawater,36.8313 N 121.9047 W,CUAYN,PAIRED,PCR,METAGENOMIC,34,20,400,seawater metagenome,ILLUMINA,2018-12-28T00:00:00Z,12518,SRS4195563,Gp0358404,SRP174741
