taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales	5020.0000	23	5043.0	334279	.00006880	.0045
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales	537.0000	22	559.0	334279	.00006581	.0393
d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	1123.0000	22	1145.0	334279	.00006581	.0192
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Oceanospirillales	4927.0000	22	4949.0	334279	.00006581	.0044
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales	4901.0000	22	4923.0	334279	.00006581	.0044
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_bacterium,o:uncultured_bacterium	7086.0000	22	7108.0	334279	.00006581	.0030
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales	1226.0000	21	1247.0	334279	.00006282	.0168
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_marine_bacterium,o:uncultured_marine_bacterium	6170.0000	20	6190.0	334279	.00005983	.0032
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales	3259.0000	19	3278.0	334279	.00005683	.0057
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Actinomarinales	6977.0000	19	6996.0	334279	.00005683	.0027
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Kaiserbacteria		18	18	334279	.00005384	1.0000
d:Bacteria,p:Caldiserica,c:Caldisericia,o:Caldisericales		18	18	334279	.00005384	1.0000
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Opitutales	1331.0000	16	1347.0	334279	.00004786	.0118
d:Bacteria,p:Chloroflexi,c:TK10,o:marine_metagenome	59.0000	15	74.0	334279	.00004487	.2027
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ectothiorhodospirales	3276.0000	15	3291.0	334279	.00004487	.0045
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales	11.0000	14	25.0	334279	.00004188	.5600
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Alteromonadales	2266.0000	14	2280.0	334279	.00004188	.0061
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria		13	13	334279	.00003888	1.0000
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Arctic97B-4_marine_group	1420.0000	12	1432.0	334279	.00003589	.0083
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Chloroplast	519.0000	11	530.0	334279	.00003290	.0207
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bradymonadales	32.0000	10	42.0	334279	.00002991	.2380
d:Bacteria,p:Nitrospinae,c:Nitrospinia,o:Nitrospinales	1324.0000	9	1333.0	334279	.00002692	.0067
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales	1339.0000	9	1348.0	334279	.00002692	.0066
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:marine_metagenome,o:marine_metagenome	1698.0000	9	1707.0	334279	.00002692	.0052
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group	1959.0000	9	1968.0	334279	.00002692	.0045
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiomicrospirales	2710.0000	9	2719.0	334279	.00002692	.0033
d:Bacteria,p:Poribacteria,c:hydrothermal_vent_metagenome,o:hydrothermal_vent_metagenome		8	8	334279	.00002393	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured	2420.0000	8	2428.0	334279	.00002393	.0032
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Cytophagales	4111.0000	8	4119.0	334279	.00002393	.0019
d:Bacteria,p:Poribacteria,c:uncultured_Poribacteria_bacterium,o:uncultured_Poribacteria_bacterium		7	7	334279	.00002094	1.0000
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales	316.0000	7	323.0	334279	.00002094	.0216
d:Bacteria,p:Dadabacteria,c:Dadabacteriia,o:Dadabacteriales	1097.0000	7	1104.0	334279	.00002094	.0063
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Holosporales	42.0000	6	48.0	334279	.00001794	.1250
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales	479.0000	6	485.0	334279	.00001794	.0123
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales	1195.0000	6	1201.0	334279	.00001794	.0049
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Arenicellales	1195.0000	6	1201.0	334279	.00001794	.0049
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:KI89A_clade	1907.0000	6	1913.0	334279	.00001794	.0031
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Cellvibrionales	2022.0000	6	2028.0	334279	.00001794	.0029
d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales	1.0000	5	6.0	334279	.00001495	.8333
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales	316.0000	5	321.0	334279	.00001495	.0155
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales	540.0000	5	545.0	334279	.00001495	.0091
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Coxiellales	960.0000	5	965.0	334279	.00001495	.0051
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Pirellulales	972.0000	5	977.0	334279	.00001495	.0051
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales	1581.0000	5	1586.0	334279	.00001495	.0031
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:FS117-23B-02	1.0000	4	5.0	334279	.00001196	.8000
d:Bacteria,p:GN01,c:uncultured_organism,o:uncultured_organism	2.0000	4	6.0	334279	.00001196	.6666
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Entomoplasmatales	5.0000	4	9.0	334279	.00001196	.4444
d:Bacteria,p:Zixibacteria,c:uncultured_bacterium,o:uncultured_bacterium	6.0000	4	10.0	334279	.00001196	.4000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SBR1031	7.0000	4	11.0	334279	.00001196	.3636
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales	333.0000	4	337.0	334279	.00001196	.0118
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales	341.0000	4	345.0	334279	.00001196	.0115
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales	389.0000	4	393.0	334279	.00001196	.0101
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:metagenome,o:metagenome	663.0000	4	667.0	334279	.00001196	.0059
d:Bacteria,p:WS1,c:uncultured_bacterium,o:uncultured_bacterium	4.0000	3	7.0	334279	.00000897	.4285
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:Dehalococcoidales	4.0000	3	7.0	334279	.00000897	.4285
d:Bacteria,p:Armatimonadetes,c:Fimbriimonadia,o:Fimbriimonadales	22.0000	3	25.0	334279	.00000897	.1200
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales	25.0000	3	28.0	334279	.00000897	.1071
d:Bacteria,p:Poribacteria,c:uncultured_Planctomycetales_bacterium,o:uncultured_Planctomycetales_bacterium		3	3	334279	.00000897	1.0000
d:Bacteria,p:Poribacteria,c:uncultured_bacterium,o:uncultured_bacterium		3	3	334279	.00000897	1.0000
d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales	68.0000	3	71.0	334279	.00000897	.0422
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfobacterales	115.0000	3	118.0	334279	.00000897	.0254
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales	151.0000	3	154.0	334279	.00000897	.0194
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:NB1-j	246.0000	3	249.0	334279	.00000897	.0120
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Vibrionales	268.0000	3	271.0	334279	.00000897	.0110
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sneathiellales	290.0000	3	293.0	334279	.00000897	.0102
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales	686.0000	3	689.0	334279	.00000897	.0043
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales	992.0000	3	995.0	334279	.00000897	.0030
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales	1932.0000	3	1935.0	334279	.00000897	.0015
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:GIF9	3.0000	2	5.0	334279	.00000598	.4000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales	8.0000	2	10.0	334279	.00000598	.2000
d:Bacteria,p:Synergistetes,c:Synergistia,o:Synergistales	9.0000	2	11.0	334279	.00000598	.1818
d:Bacteria,p:Rokubacteria,c:NC10,o:Rokubacteriales	10.0000	2	12.0	334279	.00000598	.1666
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium_KM3-173-A5	12.0000	2	14.0	334279	.00000598	.1428
d:Bacteria,p:Poribacteria,c:Candidatus_Poribacteria_bacterium_WGA-4E,o:Candidatus_Poribacteria_bacterium_WGA-4E		2	2	334279	.00000598	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Woesebacteria		2	2	334279	.00000598	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kerfeldbacteria		2	2	334279	.00000598	1.0000
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:vadinBA26		2	2	334279	.00000598	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Acetobacterales	30.0000	2	32.0	334279	.00000598	.0625
d:Bacteria,p:Fibrobacteres,c:Fibrobacteria,o:Fibrobacterales	38.0000	2	40.0	334279	.00000598	.0500
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales	41.0000	2	43.0	334279	.00000598	.0465
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Solibacterales	43.0000	2	45.0	334279	.00000598	.0444
d:Bacteria,p:Planctomycetes,c:OM190,o:uncultured_Planctomycetaceae_bacterium	72.0000	2	74.0	334279	.00000598	.0270
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales	76.0000	2	78.0	334279	.00000598	.0256
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:S085	94.0000	2	96.0	334279	.00000598	.0208
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales	103.0000	2	105.0	334279	.00000598	.0190
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:PeM15	175.0000	2	177.0	334279	.00000598	.0112
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Piscirickettsiales	183.0000	2	185.0	334279	.00000598	.0108
d:Bacteria,p:Gemmatimonadetes,c:BD2-11_terrestrial_group,o:uncultured_bacterium	269.0000	2	271.0	334279	.00000598	.0073
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:JTB23	326.0000	2	328.0	334279	.00000598	.0060
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:OM182_clade	1192.0000	2	1194.0	334279	.00000598	.0016
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Competibacterales	1.0000	1	2.0	334279	.00000299	.5000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_bacterium	1.0000	1	2.0	334279	.00000299	.5000
d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:Ignavibacteriales	1.0000	1	2.0	334279	.00000299	.5000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:PLTA13	2.0000	1	3.0	334279	.00000299	.3333
d:Bacteria,p:Omnitrophicaeota,c:uncultured_bacterium,o:uncultured_bacterium	2.0000	1	3.0	334279	.00000299	.3333
d:Bacteria,p:Proteobacteria,c:Zetaproteobacteria,o:Mariprofundales	4.0000	1	5.0	334279	.00000299	.2000
d:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Gastranaerophilales	4.0000	1	5.0	334279	.00000299	.2000
d:Bacteria,p:Cloacimonetes,c:Cloacimonadia,o:Cloacimonadales	4.0000	1	5.0	334279	.00000299	.2000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Thermoflexales	4.0000	1	5.0	334279	.00000299	.2000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Absconditabacteriales_(SR1)	5.0000	1	6.0	334279	.00000299	.1666
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Nitrococcales	6.0000	1	7.0	334279	.00000299	.1428
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium_KM3-25-B4	6.0000	1	7.0	334279	.00000299	.1428
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mycoplasmatales	7.0000	1	8.0	334279	.00000299	.1250
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:D90	7.0000	1	8.0	334279	.00000299	.1250
d:Bacteria,p:Firmicutes,c:Clostridia,o:Thermoanaerobacterales	7.0000	1	8.0	334279	.00000299	.1250
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:MBMPE27	8.0000	1	9.0	334279	.00000299	.1111
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:MSBL9	8.0000	1	9.0	334279	.00000299	.1111
d:Bacteria,p:Patescibacteria,c:WWE3,o:uncultured_bacterium		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_delta_proteobacterium		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Paceibacterales		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yanofskybacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Portnoybacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Campbellbacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kuenenbacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Komeilibacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Falkowbacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Buchananbacteria		1	1	334279	.00000299	1.0000
d:Bacteria,p:Omnitrophicaeota,c:Omnitrophica_WOR_2_bacterium_RIFOXYA2_FULL_45_12,o:Omnitrophica_WOR_2_bacterium_RIFOXYA2_FULL_45_12		1	1	334279	.00000299	1.0000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:uncultured		1	1	334279	.00000299	1.0000
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_Acidimicrobiales_bacterium		1	1	334279	.00000299	1.0000
d:Bacteria,p:BRC1,c:uncultured_bacterium,o:uncultured_bacterium	9.0000	1	10.0	334279	.00000299	.1000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales	10.0000	1	11.0	334279	.00000299	.0909
d:Bacteria,p:Calditrichaeota,c:Calditrichia,o:Calditrichales	10.0000	1	11.0	334279	.00000299	.0909
d:Bacteria,p:Armatimonadetes,c:uncultured,o:uncultured_bacterium	10.0000	1	11.0	334279	.00000299	.0909
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Frankiales	10.0000	1	11.0	334279	.00000299	.0909
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Acidithiobacillales	11.0000	1	12.0	334279	.00000299	.0833
d:Bacteria,p:Actinobacteria,c:Coriobacteriia,o:Coriobacteriales	13.0000	1	14.0	334279	.00000299	.0714
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_bacterium_HF0500_01L02,o:uncultured_bacterium_HF0500_01L02	15.0000	1	16.0	334279	.00000299	.0625
d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales	16.0000	1	17.0	334279	.00000299	.0588
d:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales	17.0000	1	18.0	334279	.00000299	.0555
d:Bacteria,p:Acidobacteria,c:Holophagae,o:Holophagales	19.0000	1	20.0	334279	.00000299	.0500
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales	20.0000	1	21.0	334279	.00000299	.0476
d:Bacteria,p:Actinobacteria,c:Rubrobacteria,o:Rubrobacterales	23.0000	1	24.0	334279	.00000299	.0416
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:IMCC26256	27.0000	1	28.0	334279	.00000299	.0357
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Elsterales	37.0000	1	38.0	334279	.00000299	.0263
d:Bacteria,p:Chloroflexi,c:TK10,o:uncultured_bacterium	47.0000	1	48.0	334279	.00000299	.0208
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Francisellales	51.0000	1	52.0	334279	.00000299	.0192
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:hydrothermal_vent_metagenome,o:hydrothermal_vent_metagenome	52.0000	1	53.0	334279	.00000299	.0188
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales	54.0000	1	55.0	334279	.00000299	.0181
d:Bacteria,p:Acidobacteria,c:Holophagae,o:Subgroup_7	56.0000	1	57.0	334279	.00000299	.0175
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:AT-s2-59	69.0000	1	70.0	334279	.00000299	.0142
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Gammaproteobacteria_Incertae_Sedis	96.0000	1	97.0	334279	.00000299	.0103
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Tenderiales	98.0000	1	99.0	334279	.00000299	.0101
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales	106.0000	1	107.0	334279	.00000299	.0093
d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Campylobacterales	110.0000	1	111.0	334279	.00000299	.0090
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Pedosphaerales	111.0000	1	112.0	334279	.00000299	.0089
d:Bacteria,p:Planctomycetes,c:Pla3_lineage,o:uncultured_bacterium	128.0000	1	129.0	334279	.00000299	.0077
d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales	142.0000	1	143.0	334279	.00000299	.0069
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium	149.0000	1	150.0	334279	.00000299	.0066
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodovibrionales	158.0000	1	159.0	334279	.00000299	.0062
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:EPR3968-O8a-Bc78	201.0000	1	202.0	334279	.00000299	.0049
d:Bacteria,p:Kiritimatiellaeota,c:Kiritimatiellae,o:Kiritimatiellales	231.0000	1	232.0	334279	.00000299	.0043
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ga0077536	250.0000	1	251.0	334279	.00000299	.0039
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HOC36	916.0000	1	917.0	334279	.00000299	.0010
d:Eukaryota,p:uncultured_dinoflagellate,c:uncultured_dinoflagellate,o:uncultured_dinoflagellate		0	0	334279	0	0
d:Eukaryota,p:uncultured,c:uncultured_marine_eukaryote,o:uncultured_marine_eukaryote		0	0	334279	0	0
d:Eukaryota,p:uncultured,c:uncultured_marine_alveolate,o:uncultured_marine_alveolate		0	0	334279	0	0
d:Eukaryota,p:uncultured,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:SAR,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured_marine_eukaryote		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Placididea		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Peronosporomycetes		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Opalinata		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Ochrophyta		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-9		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-8		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-7		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-6		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-4		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-3		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-24		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-23		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-22		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-2		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-12		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-11		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-1		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Labyrinthulomycetes		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Incertae_Sedis	1.0000	0	1.0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Hyphochytriomycetes		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Bicosoecida		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Rhizaria,o:Retaria	4.0000	0	4.0	334279	0	0
d:Eukaryota,p:SAR,c:Rhizaria,o:Cercozoa		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_marine_dinoflagellate		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_marine_alveolate		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_dinoflagellate		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_alveolate		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Protalveolata	1.0000	0	1.0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Incertae_Sedis		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Dinophyceae_sp._Bullet		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Dinoflagellata		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Ciliophora		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Apicomplexa		0	0	334279	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Acavomonidia		0	0	334279	0	0
d:Eukaryota,p:SA1-3C06,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_rhodophyte,o:uncultured_rhodophyte		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_picobiliphyte,o:uncultured_picobiliphyte		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_phototrophic_eukaryote,o:uncultured_phototrophic_eukaryote		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_marine_eukaryote,o:uncultured_marine_eukaryote		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:uncultured_biliphyte,o:uncultured_biliphyte		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_eukaryote		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_biliphyte		0	0	334279	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:Picomonadidae		0	0	334279	0	0
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Nucleariidae_and_Fonticula_group		0	0	334279	0	0
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Fungi		0	0	334279	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Metazoa_(Animalia)		0	0	334279	0	0
