taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales	105.0000	1	106.0	18914	.00005287	.0094
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales	125.0000	1	126.0	18914	.00005287	.0079
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HOC36	144.0000	1	145.0	18914	.00005287	.0068
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Cellvibrionales	174.0000	1	175.0	18914	.00005287	.0057
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SAR86_clade	185.0000	1	186.0	18914	.00005287	.0053
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_Candidatus_Marinimicrobia_bacterium,o:uncultured_Candidatus_Marinimicrobia_bacterium	193.0000	1	194.0	18914	.00005287	.0051
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:SAR324_clade(Marine_group_B)	752.0000	1	753.0	18914	.00005287	.0013
d:Eukaryota,p:uncultured_dinoflagellate,c:uncultured_dinoflagellate,o:uncultured_dinoflagellate		0	0	18914	0	0
d:Eukaryota,p:uncultured,c:uncultured_marine_alveolate,o:uncultured_marine_alveolate		0	0	18914	0	0
d:Eukaryota,p:uncultured,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Phaeophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Pelagophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Ochrophyta_X		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Eustigmatophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Dictyochophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Chrysophyceae-Synurophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Chrysophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Bolidophyceae		0	0	18914	0	0
d:Eukaryota,p:Stramenopiles,c:Ochrophyta,o:Bacillariophyta		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured_marine_eukaryote		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:uncultured		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Placididea		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Peronosporomycetes		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Ochrophyta		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-9		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-8		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-7		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-6		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-4		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-3		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-24		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-23		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-22		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-2		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-16		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-12		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:MAST-1		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Labyrinthulomycetes		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Incertae_Sedis		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Hyphochytriomycetes		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Stramenopiles,o:Bicosoecida		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Rhizaria,o:Retaria		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Rhizaria,o:Cercozoa		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_marine_dinoflagellate		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured_dinoflagellate		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:uncultured		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Protalveolata		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Incertae_Sedis		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Dinoflagellata		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Ciliophora		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Apicomplexa		0	0	18914	0	0
d:Eukaryota,p:SAR,c:Alveolata,o:Acavomonidia		0	0	18914	0	0
d:Eukaryota,p:SA1-3C06,c:uncultured_marine_cryptophyte,o:uncultured_marine_cryptophyte		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:uncultured_picobiliphyte,o:uncultured_picobiliphyte		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:uncultured_phototrophic_eukaryote,o:uncultured_phototrophic_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:uncultured_biliphyte		0	0	18914	0	0
d:Eukaryota,p:Picozoa,c:Picomonadida,o:Picomonadidae		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Nucleariidae_and_Fonticula_group		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Nucletmycea,o:Fungi		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Metazoa_(Animalia)		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Ichthyosporea		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Filasterea		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Eccrinales		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Holozoa,o:Choanoflagellida		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:uncultured		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:Paraphelidium		0	0	18914	0	0
d:Eukaryota,p:Opisthokonta,c:Aphelidea,o:Aphelidium		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_Telonemida		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_Telonema		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_syndiniales		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Telonema,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Rigifilida,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Palpitomonas,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Palpitomonas,o:marine_microheliozoan_TCS-2002		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:uncultured_fungus		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:Subulatomonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:NAMAKO-2		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Breviatea,o:Breviata		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_marine_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:uncultured_Apusomonadidae		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Planomonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Fabomonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Chelonemonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Apusomonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Apusomonadidae,o:Amastigomonas		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Ancyromonadida,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Ancyromonadida,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Incertae_Sedis,c:Ancyromonadida,o:Ancyromonas		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:uncultured,o:uncultured_haptophyte		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:T58,o:uncultured_marine_haptophyte		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:T58,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:SGUH624		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Prymnesiales		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Phaeocystis		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Isochrysidales		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Coccolithales		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:Pavlova		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:Exanthemachrysis		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:AA5F1		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:Pav3,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Haptophyta,c:metagenome,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Hacrobia,c:Rappemonad,o:Rappemonad_X		0	0	18914	0	0
d:Eukaryota,p:Hacrobia,c:Haptophyta,o:Prymnesiophyceae		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:Metamonada,o:Parabasalia		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:Metamonada,o:Fornicata		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:metagenome,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:Discoba,o:Jakobida		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:Discoba,o:Euglenozoa		0	0	18914	0	0
d:Eukaryota,p:Excavata,c:Discoba,o:Discicristata		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_Proteomonas		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_freshwater_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:uncultured,o:uncultured_cryptophyte		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:uncultured		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:Leucocryptos		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Kathablepharidae,o:Katablepharis		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-9		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-8		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_sp._SH-6		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Goniomonas,o:Goniomonas_avonlea		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:uncultured		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Teleaulax		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Rhodomonas		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Hemiselmis		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Cryptomonas		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Chroomonas_sp._M0851		0	0	18914	0	0
d:Eukaryota,p:Cryptophyceae,c:Cryptomonadales,o:Chroomonas		0	0	18914	0	0
d:Eukaryota,p:Collodictyonidae,c:Diphylleia,o:Diphylleia_rotans		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:uncultured_marine_eukaryote,o:uncultured_marine_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:uncultured_eukaryote,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:metagenome,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:Heterophryidae,o:Heterophrys		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:H15-6,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:CV1-B1-93,o:uncultured_centroheliozoan		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:uncultured_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:Pterocystis		0	0	18914	0	0
d:Eukaryota,p:Centrohelida,c:Acanthocystidae,o:Choanocystis		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Streptophyta,o:Mesostigmatophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Streptophyta,o:Embryophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyta,o:Florideophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyta,o:Bangiophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Stylonematales		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Rhodellophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Porphyridiophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Florideophycidae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Rhodophyceae,o:Bangiales		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Glaucophyta,o:Glaucocystis		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Chlorophyta		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Charophyta		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Trebouxiophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Pyramimonadales		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Prasinophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Prasinococcales		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Nephroselmidophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Mamiellophyceae		0	0	18914	0	0
d:Eukaryota,p:Archaeplastida,c:Chlorophyta,o:Chlorophyceae		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:uncultured_Eimeriidae		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:uncultured_Amoebozoa		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:uncultured,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Leptomyxida		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Euamoebida		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Tubulinea,o:Arcellinida		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Schizoplasmodiida,o:Phalansterium		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Protosteliida,o:Protostelium		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Protosteliida,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Protosporangiida,o:Protosporangiidae		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Mycamoeba,o:uncultured_freshwater_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Mycamoeba,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:metagenome,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Incertae_Sedis,o:WIM_1_lineage		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Incertae_Sedis,o:Dictyamoeba		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:metagenome		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:Flamella		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Gracilipodida,o:Filamoeba		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:uncultured_marine_eukaryote		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Mayorella_sp._JJP-2003		0	0	18914	0	0
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Longamoebia		0	0	18914	0	0
