taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales	525.0000	18	543.0	330866	.00005440	.0331
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Nostocales	986.0000	18	1004.0	330866	.00005440	.0179
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Alteromonadales	2071.0000	18	2089.0	330866	.00005440	.0086
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Cytophagales	2520.0000	18	2538.0	330866	.00005440	.0070
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:RBG-13-54-9	2.0000	17	19.0	330866	.00005138	.8947
d:Bacteria,p:Planctomycetes,c:Pla3_lineage,o:uncultured_planctomycete	31.0000	17	48.0	330866	.00005138	.3541
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Kordiimonadales	73.0000	17	90.0	330866	.00005138	.1888
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sneathiellales	284.0000	17	301.0	330866	.00005138	.0564
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales	179.0000	16	195.0	330866	.00004835	.0820
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Oceanospirillales	3667.0000	16	3683.0	330866	.00004835	.0043
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kerfeldbacteria	2.0000	15	17.0	330866	.00004533	.8823
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales	269.0000	15	284.0	330866	.00004533	.0528
d:Bacteria,p:Nitrospinae,c:Nitrospinia,o:Nitrospinales	1078.0000	15	1093.0	330866	.00004533	.0137
d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Campylobacterales	2.0000	14	16.0	330866	.00004231	.8750
d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales	22.0000	14	36.0	330866	.00004231	.3888
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:NB1-j	292.0000	14	306.0	330866	.00004231	.0457
d:Bacteria,p:Dadabacteria,c:Dadabacteriia,o:Dadabacteriales	1414.0000	14	1428.0	330866	.00004231	.0098
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales	3463.0000	14	3477.0	330866	.00004231	.0040
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Sva0485	5.0000	12	17.0	330866	.00003626	.7058
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_organism		12	12	330866	.00003626	1.0000
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales	191.0000	12	203.0	330866	.00003626	.0591
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Pirellulales	1095.0000	12	1107.0	330866	.00003626	.0108
d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IV	1.0000	11	12.0	330866	.00003324	.9166
d:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,o:uncultured_Chloroflexi_bacterium	26.0000	11	37.0	330866	.00003324	.2972
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Portnoybacteria		11	11	330866	.00003324	1.0000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodovibrionales	139.0000	11	150.0	330866	.00003324	.0733
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales	2515.0000	11	2526.0	330866	.00003324	.0043
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Tistrellales	7.0000	10	17.0	330866	.00003022	.5882
d:Bacteria,p:Lentisphaerae,c:Lentisphaeria,o:Victivallales	7.0000	10	17.0	330866	.00003022	.5882
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Acetobacterales	30.0000	10	40.0	330866	.00003022	.2500
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales	177.0000	10	187.0	330866	.00003022	.0534
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Azospirillales	373.0000	10	383.0	330866	.00003022	.0261
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group	1251.0000	10	1261.0	330866	.00003022	.0079
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales	1284.0000	10	1294.0	330866	.00003022	.0077
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_bacterium	4.0000	9	13.0	330866	.00002720	.6923
d:Bacteria,p:Bacteroidetes,c:Rhodothermia,o:Rhodothermales	15.0000	9	24.0	330866	.00002720	.3750
d:Bacteria,p:Poribacteria,c:uncultured_Planctomycetales_bacterium,o:uncultured_Planctomycetales_bacterium		9	9	330866	.00002720	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:32-520		9	9	330866	.00002720	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:JGI_0000069-P22		9	9	330866	.00002720	1.0000
d:Bacteria,p:Poribacteria,c:Candidatus_Poribacteria_bacterium_WGA-A3,o:Candidatus_Poribacteria_bacterium_WGA-A3		8	8	330866	.00002417	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Pacebacteria	1.0000	7	8.0	330866	.00002115	.8750
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Curtissbacteria	2.0000	7	9.0	330866	.00002115	.7777
d:Bacteria,p:Synergistetes,c:Synergistia,o:Synergistales	10.0000	7	17.0	330866	.00002115	.4117
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Diplorickettsiales	33.0000	7	40.0	330866	.00002115	.1750
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfarculales	50.0000	7	57.0	330866	.00002115	.1228
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Holosporales	50.0000	7	57.0	330866	.00002115	.1228
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Kaiserbacteria		7	7	330866	.00002115	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Vibrionales	290.0000	7	297.0	330866	.00002115	.0235
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:PB19	567.0000	7	574.0	330866	.00002115	.0121
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiomicrospirales	2198.0000	7	2205.0	330866	.00002115	.0031
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Cellvibrionales	2596.0000	7	2603.0	330866	.00002115	.0026
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Peribacteria		6	6	330866	.00001813	1.0000
d:Bacteria,p:Omnitrophicaeota,c:uncultured_Verrucomicrobia_bacterium,o:uncultured_Verrucomicrobia_bacterium		6	6	330866	.00001813	1.0000
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales	137.0000	6	143.0	330866	.00001813	.0419
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales	153.0000	6	159.0	330866	.00001813	.0377
d:Bacteria,p:Margulisbacteria,c:uncultured_bacterium,o:uncultured_bacterium	398.0000	6	404.0	330866	.00001813	.0148
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Komeilibacteria	1.0000	5	6.0	330866	.00001511	.8333
d:Bacteria,p:Planctomycetes,c:Brocadiae,o:Brocadiales	2.0000	5	7.0	330866	.00001511	.7142
d:Bacteria,p:Omnitrophicaeota,c:uncultured_bacterium,o:uncultured_bacterium	6.0000	5	11.0	330866	.00001511	.4545
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:mle1-8	7.0000	5	12.0	330866	.00001511	.4166
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Woesebacteria	7.0000	5	12.0	330866	.00001511	.4166
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales	9.0000	5	14.0	330866	.00001511	.3571
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Chromatiales	32.0000	5	37.0	330866	.00001511	.1351
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales	40.0000	5	45.0	330866	.00001511	.1111
d:Eukaryota,p:Archaeplastida,c:Chloroplastida,o:Charophyta		5	5	330866	.00001511	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:GWA2-38-13b		5	5	330866	.00001511	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yanofskybacteria		5	5	330866	.00001511	1.0000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales	49.0000	5	54.0	330866	.00001511	.0925
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Oligoflexales	651.0000	5	656.0	330866	.00001511	.0076
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales	877.0000	5	882.0	330866	.00001511	.0056
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:marine_metagenome,o:marine_metagenome	1718.0000	5	1723.0	330866	.00001511	.0029
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Campbellbacteria	1.0000	4	5.0	330866	.00001208	.8000
d:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,o:metagenome	1.0000	4	5.0	330866	.00001208	.8000
d:Bacteria,p:Spirochaetes,c:MVP-15,o:uncultured_bacterium	2.0000	4	6.0	330866	.00001208	.6666
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria	2.0000	4	6.0	330866	.00001208	.6666
d:Bacteria,p:Firmicutes,c:Clostridia,o:Thermoanaerobacterales	2.0000	4	6.0	330866	.00001208	.6666
d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales	4.0000	4	8.0	330866	.00001208	.5000
d:Bacteria,p:Firmicutes,c:Clostridia,o:DTU014	4.0000	4	8.0	330866	.00001208	.5000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales	4.0000	4	8.0	330866	.00001208	.5000
d:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales	17.0000	4	21.0	330866	.00001208	.1904
d:Bacteria,p:Lentisphaerae,c:Oligosphaeria,o:Oligosphaerales	24.0000	4	28.0	330866	.00001208	.1428
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Streptomycetales	44.0000	4	48.0	330866	.00001208	.0833
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micavibrionales	58.0000	4	62.0	330866	.00001208	.0645
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales	67.0000	4	71.0	330866	.00001208	.0563
d:Bacteria,p:Planctomycetes,c:OM190,o:uncultured_bacterium	122.0000	4	126.0	330866	.00001208	.0317
d:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,o:uncultured_bacterium	145.0000	4	149.0	330866	.00001208	.0268
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales	231.0000	4	235.0	330866	.00001208	.0170
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium	303.0000	4	307.0	330866	.00001208	.0130
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Arenicellales	1193.0000	4	1197.0	330866	.00001208	.0033
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kuenenbacteria	1.0000	3	4.0	330866	.00000906	.7500
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:SJA-15	1.0000	3	4.0	330866	.00000906	.7500
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:BD72BR169	3.0000	3	6.0	330866	.00000906	.5000
d:Bacteria,p:Acidobacteria,c:Holophagae,o:Holophagales	3.0000	3	6.0	330866	.00000906	.5000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:11-24	3.0000	3	6.0	330866	.00000906	.5000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:EC3	5.0000	3	8.0	330866	.00000906	.3750
d:Bacteria,p:WPS-2,c:uncultured_bacterium,o:uncultured_bacterium	6.0000	3	9.0	330866	.00000906	.3333
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Acidithiobacillales	7.0000	3	10.0	330866	.00000906	.3000
d:Bacteria,p:Nitrospirae,c:Thermodesulfovibrionia,o:uncultured	7.0000	3	10.0	330866	.00000906	.3000
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:GIF9	12.0000	3	15.0	330866	.00000906	.2000
d:Bacteria,p:Chloroflexi,c:TK10,o:uncultured_bacterium	14.0000	3	17.0	330866	.00000906	.1764
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_Acidobacteria_bacterium	22.0000	3	25.0	330866	.00000906	.1200
d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales	23.0000	3	26.0	330866	.00000906	.1153
d:Bacteria,p:Entotheonellaeota,c:Entotheonellia,o:Entotheonellales	23.0000	3	26.0	330866	.00000906	.1153
d:Bacteria,p:Tenericutes,c:Mollicutes,o:Mycoplasmatales		3	3	330866	.00000906	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:FW113		3	3	330866	.00000906	1.0000
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Tepidisphaerales		3	3	330866	.00000906	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Abawacabacteria		3	3	330866	.00000906	1.0000
d:Bacteria,p:Omnitrophicaeota,c:uncultured_prokaryote,o:uncultured_prokaryote		3	3	330866	.00000906	1.0000
d:Bacteria,p:FBP,c:uncultured_bacterium,o:uncultured_bacterium		3	3	330866	.00000906	1.0000
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Acidobacteriales	47.0000	3	50.0	330866	.00000906	.0600
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Chthoniobacterales	52.0000	3	55.0	330866	.00000906	.0545
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Corynebacteriales	62.0000	3	65.0	330866	.00000906	.0461
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Francisellales	63.0000	3	66.0	330866	.00000906	.0454
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Piscirickettsiales	130.0000	3	133.0	330866	.00000906	.0225
d:Bacteria,p:Verrucomicrobia,c:Verrucomicrobiae,o:Pedosphaerales	218.0000	3	221.0	330866	.00000906	.0135
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HOC36	258.0000	3	261.0	330866	.00000906	.0114
d:Bacteria,p:Gemmatimonadetes,c:BD2-11_terrestrial_group,o:uncultured_bacterium	352.0000	3	355.0	330866	.00000906	.0084
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:KI89A_clade	846.0000	3	849.0	330866	.00000906	.0035
d:Bacteria,p:WS1,c:uncultured_bacterium,o:uncultured_bacterium	1.0000	2	3.0	330866	.00000604	.6666
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:DTB120	1.0000	2	3.0	330866	.00000604	.6666
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Blastocatellales	1.0000	2	3.0	330866	.00000604	.6666
d:Bacteria,p:WS2,c:uncultured_bacterium,o:uncultured_bacterium	2.0000	2	4.0	330866	.00000604	.5000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Micropepsales	2.0000	2	4.0	330866	.00000604	.5000
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:Sh765B-AG-111	2.0000	2	4.0	330866	.00000604	.5000
d:Bacteria,p:Actinobacteria,c:Nitriliruptoria,o:Nitriliruptorales	2.0000	2	4.0	330866	.00000604	.5000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:uncultured	4.0000	2	6.0	330866	.00000604	.3333
d:Bacteria,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales	6.0000	2	8.0	330866	.00000604	.2500
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Pseudonocardiales	7.0000	2	9.0	330866	.00000604	.2222
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Beggiatoales	8.0000	2	10.0	330866	.00000604	.2000
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Paracaedibacterales	8.0000	2	10.0	330866	.00000604	.2000
d:Bacteria,p:Actinobacteria,c:Coriobacteriia,o:Coriobacteriales	8.0000	2	10.0	330866	.00000604	.2000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Pyrinomonadales	8.0000	2	10.0	330866	.00000604	.2000
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:uncultured_Deferribacteres_bacterium,o:uncultured_Deferribacteres_bacterium	11.0000	2	13.0	330866	.00000604	.1538
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Frankiales	11.0000	2	13.0	330866	.00000604	.1538
d:Bacteria,p:Planctomycetes,c:BD7-11,o:uncultured_Planctomycetales_bacterium		2	2	330866	.00000604	1.0000
d:Bacteria,p:Patescibacteria,c:WS6_(Dojkabacteria),o:uncultured_bacterium		2	2	330866	.00000604	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Nomurabacteria		2	2	330866	.00000604	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Collierbacteria		2	2	330866	.00000604	1.0000
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:uncultured_bacterium		2	2	330866	.00000604	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Uhrbacteria		2	2	330866	.00000604	1.0000
d:Bacteria,p:Chloroflexi,c:SHA-26,o:uncultured_Chloroflexus_sp.		2	2	330866	.00000604	1.0000
d:Bacteria,p:Actinobacteria,c:WCHB1-81,o:uncultured_bacterium		2	2	330866	.00000604	1.0000
d:Bacteria,p:Actinobacteria,c:Coriobacteriia,o:FS118-23B-02		2	2	330866	.00000604	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bradymonadales	19.0000	2	21.0	330866	.00000604	.0952
d:Bacteria,p:Cyanobacteria,c:Oxyphotobacteria,o:Oxyphotobacteria_Incertae_Sedis	20.0000	2	22.0	330866	.00000604	.0909
d:Bacteria,p:Deinococcus-Thermus,c:Deinococci,o:Deinococcales	24.0000	2	26.0	330866	.00000604	.0769
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured	36.0000	2	38.0	330866	.00000604	.0526
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Acidiferrobacterales	61.0000	2	63.0	330866	.00000604	.0317
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:hydrothermal_vent_metagenome,o:hydrothermal_vent_metagenome	61.0000	2	63.0	330866	.00000604	.0317
d:Bacteria,p:Chloroflexi,c:N9D0,o:marine_metagenome	62.0000	2	64.0	330866	.00000604	.0312
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Nitrosococcales	65.0000	2	67.0	330866	.00000604	.0298
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:S085	76.0000	2	78.0	330866	.00000604	.0256
d:Bacteria,p:Planctomycetes,c:OM190,o:uncultured_planctomycete	88.0000	2	90.0	330866	.00000604	.0222
d:Bacteria,p:Fibrobacteres,c:Fibrobacteria,o:Fibrobacterales	162.0000	2	164.0	330866	.00000604	.0121
d:Bacteria,p:PAUC34f,c:marine_metagenome,o:marine_metagenome	170.0000	2	172.0	330866	.00000604	.0116
d:Bacteria,p:Zixibacteria,c:uncultured_organism,o:uncultured_organism	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Poribacteria,c:uncultured_bacterium,o:uncultured_bacterium	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Roizmanbacteria	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Epsilonbacteraeota,c:Desulfurellia,o:Desulfurellales	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Cyanobacteria,c:Sericytochromatia,o:uncultured_bacterium	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:1-20	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Chlamydiae,c:LD1-PA32,o:uncultured_bacterium	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Atribacteria,c:Caldatribacteriia,o:Caldatribacteriales	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Acidobacteria,c:Blastocatellia_(Subgroup_4),o:Chloracidobacteriales	1.0000	1	2.0	330866	.00000302	.5000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:pItb-vmat-80	2.0000	1	3.0	330866	.00000302	.3333
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:MD2904-B13	2.0000	1	3.0	330866	.00000302	.3333
d:Bacteria,p:Margulisbacteria,c:uncultured_organism,o:uncultured_organism	2.0000	1	3.0	330866	.00000302	.3333
d:Bacteria,p:Cyanobacteria,c:Melainabacteria,o:Caenarcaniphilales	2.0000	1	3.0	330866	.00000302	.3333
